[2023-10-30T07:49:55.344] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.358] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.364] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.370] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.377] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.383] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.388] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.398] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.404] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.409] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.415] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.425] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.433] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.440] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.448] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.456] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.460] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.464] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.472] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.477] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.482] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.488] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.496] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.503] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.505] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.508] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.514] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.517] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.521] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.526] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.532] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.538] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.543] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.549] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.553] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.559] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.567] [INFO] ma-core - Shift Unassigned reminder cron launched
