[2021-11-24T10:18:21.315] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:10:01.228] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:10:42.658] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:11:07.704] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:17:55.930] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:18:18.168] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:20:39.410] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:22:03.797] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:24:27.375] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:26:06.540] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:32:15.797] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:33:05.166] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:33:29.943] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:33:35.825] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:37:44.885] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:40:43.193] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:41:39.224] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:51:03.026] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T11:53:01.393] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T14:32:23.444] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T14:50:45.311] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T14:51:15.519] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T14:51:32.605] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T15:36:42.378] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T16:51:07.039] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T16:52:38.739] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T16:55:46.355] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T17:01:54.417] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T17:03:53.817] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-24T17:06:45.466] [TRACE] ma-core - A user connected, Total users connected is: 
