[2021-11-26T09:29:25.930] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T09:53:14.299] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T09:57:09.003] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T10:51:51.942] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T10:52:23.754] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T10:56:57.297] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T10:58:17.742] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T10:59:19.557] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:03:24.498] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:07:46.680] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:08:10.801] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:08:37.401] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:08:44.143] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:09:26.416] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:10:08.914] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:10:28.948] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:10:37.581] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:11:14.119] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:11:42.436] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:16:15.351] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:16:59.948] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:17:34.833] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:18:00.968] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:32:50.642] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:33:18.628] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:34:54.658] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:35:12.523] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:35:55.434] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:36:24.426] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:37:00.461] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:37:15.165] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:37:50.332] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:38:27.349] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:39:14.190] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:39:45.054] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:40:21.103] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:40:53.072] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:42:02.350] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:42:19.259] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:48:48.292] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:49:16.324] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:54:16.199] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:54:57.890] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:55:52.659] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:56:15.665] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:56:50.713] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T11:57:04.356] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:22:11.921] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:23:10.546] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:24:16.255] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:37:15.502] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:38:39.654] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:39:03.810] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:39:24.132] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:39:55.558] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T14:40:09.549] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-26T16:53:08.013] [TRACE] ma-core - A user connected, Total users connected is: 
