[2021-11-23T10:44:27.041] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T10:53:49.814] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T10:54:38.776] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T11:00:32.234] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T11:00:34.378] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T16:49:13.377] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T16:49:26.247] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T16:51:29.800] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T16:53:22.517] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T17:01:55.198] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T17:03:46.133] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-23T17:04:09.305] [TRACE] ma-core - A user connected, Total users connected is: 
