[2021-11-30T10:11:46.062] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:11:54.213] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:11:58.612] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:12:30.910] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:12:35.933] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:13:06.861] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:13:13.960] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:13:17.225] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:13:19.278] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:13:20.540] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:17:22.511] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:18:08.294] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:18:09.884] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:00.127] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:01.462] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:02.828] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:03.924] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:13.727] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:41.024] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:19:59.953] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:12.866] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:15.115] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:17.473] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:20.134] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:21.371] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:23.631] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:25.747] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:20:46.647] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T10:21:14.365] [TRACE] ma-core - A user connected, Total users connected is: 
