[2021-11-25T08:52:34.977] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:42:20.207] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:52:22.662] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:54:15.162] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:55:10.523] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:57:12.857] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T09:58:01.831] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:05:04.753] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:05:26.266] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:06:33.300] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:10:44.032] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:11:55.246] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:13:20.082] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:14:04.939] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:14:31.713] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:18:01.444] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:18:28.674] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:19:24.194] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:24:14.290] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:25:27.403] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:28:28.133] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:29:08.079] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:32:31.010] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:33:24.046] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:33:46.116] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:34:31.406] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:39:03.555] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:39:21.868] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:39:45.658] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:39:58.618] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:40:47.075] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-25T10:41:08.596] [TRACE] ma-core - A user connected, Total users connected is: 
