[2021-12-05T20:30:05.780] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:33:21.312] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:34:07.320] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:39:19.784] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:43:21.999] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:43:24.645] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:48:32.820] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:51:44.909] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T20:56:22.210] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:08:03.713] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:17:30.758] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:20:21.725] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:21:24.380] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:24:59.807] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:30:48.798] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:32:00.063] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:36:00.436] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:38:48.640] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:42:49.857] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:43:44.084] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:46:53.043] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-05T21:59:06.694] [TRACE] ma-core - A user connected, Total users connected is: 
