[2021-12-20T15:29:36.289] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T15:29:38.476] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:04:34.258] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:04:36.096] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:05:31.112] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:15:07.616] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:15:46.648] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:16:50.397] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T16:23:44.349] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:20:48.157] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:21:10.932] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:21:52.567] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:23:07.087] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:30:38.132] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:31:26.005] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:31:32.937] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:37:35.422] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:50:31.424] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-20T17:50:32.805] [TRACE] ma-core - A user connected, Total users connected is: 
