[2021-12-01T15:17:34.786] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:53:07.675] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:55:39.108] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:56:33.111] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:57:23.132] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:57:56.317] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:58:04.431] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T16:59:06.871] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:00:23.035] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:00:46.226] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:04:38.891] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:12:58.221] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:15:58.264] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:16:43.068] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:19:33.647] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:32:46.198] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-12-01T17:32:48.979] [TRACE] ma-core - A user connected, Total users connected is: 
