[2021-11-29T08:37:23.262] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T08:42:31.020] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T08:45:56.701] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T08:49:35.029] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T08:51:27.045] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T08:51:29.505] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:24:29.783] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:24:57.963] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:27:45.699] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:29:07.904] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:29:36.964] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:30:27.072] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:31:10.973] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:31:26.793] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:32:19.678] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:32:44.975] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:33:25.110] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:33:51.115] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:34:37.169] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:34:56.899] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:35:16.415] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:36:34.686] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T10:36:53.693] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:04:36.845] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:05:24.948] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:08:08.723] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:08:32.936] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:08:52.833] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T11:11:36.871] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T13:56:32.070] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T13:58:44.028] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T16:48:10.574] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T16:52:13.705] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:03:19.548] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:08:32.436] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:09:53.018] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:22:55.612] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:34:22.045] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:38:19.501] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:40:17.624] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:45:30.490] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:47:01.012] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:49:52.394] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:55:21.638] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:58:03.137] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:58:21.740] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:59:27.296] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T21:59:43.778] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:00:49.082] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:01:02.711] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:01:51.913] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:02:14.259] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:04:04.411] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-29T22:07:14.023] [TRACE] ma-core - A user connected, Total users connected is: 
