[2023-10-29T13:43:47.802] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.804] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.806] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.810] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.812] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.813] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.816] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.817] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.820] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.822] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.824] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.826] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.827] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.829] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.832] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.834] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.835] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.837] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.838] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.840] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.842] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.844] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.846] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.849] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.851] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.853] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.856] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.858] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.861] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.864] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.867] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.869] [INFO] ma-core - Shift Unassigned reminder cron launched
